"run_id","run_seed","regime","total_manuscripts_spawned","majority_text","pct_sampled_witnesses_with_pa","pct_majority_disagree_autograph","pct_all_witnesses_with_pa","ideal_majority_text","pct_ideal_majority_disagree_autograph"
36,2651038515,"omission",276884,"1111111111111111111111111111211111111111111111111111111111111111111111111111111121111111111111111111",1.0,0.02,0.9991621009596111,"1111111111111111111111111111211111111111111111111111111111111111111111111111111121111111111111111111",0.02
37,1550054500,"insertion",277407,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.011333333333333334,0.0,0.009632091591385911,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
37,1550054500,"omission",277407,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9997837105181575,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
38,1025505650,"insertion",277535,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.013666666666666667,0.0,0.015205344210078764,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
38,1025505650,"omission",277535,"1111111111111111111111111111111111111111111111111111111211111111111111111111111111111111151111111111",1.0,0.02,0.9999963968378649,"1111111111111111111111111111111111111111111111111111111211111111111111111111111111111111151111111111",0.02
39,2406865465,"insertion",277285,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0026666666666666666,0.0,0.0020268028447368042,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
39,2406865465,"omission",277285,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9999963935892442,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
40,88236963,"insertion",277287,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.004,0.0,0.003941778524700129,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
40,88236963,"omission",277287,"1111111111111111111111111111111111111111111411111111111111111111111111111111111111111111111111111111",0.9996666666666667,0.01,0.9990154569650108,"1111111111111111111111111111111111111111111411111111111111111111111111111111111111111111111111111111",0.01
41,4071941131,"insertion",277491,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.603733467872716e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
41,4071941131,"omission",277491,"1111111111111111111111111111111411111211131111111111111111111111111111111111110111111111111111111111",0.9993333333333333,0.04,0.9984467908753468,"1111111111111111111111111111111411111211131111111111111111111111111111111111110111111111111111111111",0.04
42,1052404516,"insertion",277528,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.009,0.0,0.013000536884699506,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
42,1052404516,"omission",277528,"1111131111111111111111111111111111111111111111111111111111111111111111111111111111111112111111151111",1.0,0.03,0.9999963967469832,"1111131111111111111111111111111111111111111111111111111111111111111111111111111111111112111111151111",0.03
43,3403578661,"insertion",277115,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.608623165917276e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
43,3403578661,"omission",277115,"1111111511111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.999996391376834,"1111111511111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
44,400005826,"insertion",276744,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.005,0.0,0.004466237628413365,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
44,400005826,"omission",276744,"1111111111111111111111111111111111111111111111111111111111111141111111113111111111111111111111111115",1.0,0.03,0.9999927730782712,"1111111111111111111111111111111111111111111111111111111111111141111111113111111111111111111111111115",0.03
45,2739277089,"insertion",276734,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.010666666666666666,0.0,0.009019524234550992,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
45,2739277089,"omission",276734,"1111111111111111111111114111111111111111111111111111111111111111111111111111111111111111111111111111",0.997,0.01,0.9961768202563481,"1111111111111111111111114111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
46,1820885623,"insertion",277220,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.007,0.0,0.005807682734588899,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
46,1820885623,"omission",277220,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111151111111111111",0.998,0.01,0.9969735119165714,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111151111111111111",0.01
47,3427982319,"insertion",277147,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.005666666666666667,0.0,0.005715399103721504,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
47,3427982319,"omission",277147,"1111113111111111111111111111111111111111511111111111111111111111111111111111111111111111111111111111",1.0,0.02,0.9999963917934951,"1111113111111111111111111111111111111111511111111111111111111111111111111111111111111111111111111111",0.02
48,2867769875,"insertion",276604,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.006666666666666667,0.0,0.006576212116282181,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
48,2867769875,"omission",276604,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9993492478389605,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
49,332608579,"insertion",276692,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,2.168483976710482e-05,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
49,332608579,"omission",276692,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.9996666666666667,0.0,0.9992844002876855,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
50,3759903871,"insertion",276367,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.023,0.0,0.022806712837324418,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
50,3759903871,"omission",276367,"1111111111112111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9984368554742624,"1111111111112111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
51,118617147,"insertion",277411,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.604772719080062e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
51,118617147,"omission",277411,"1111111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111",0.9983333333333333,0.01,0.9989149634115569,"1111111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111",0.01
52,2437184901,"insertion",276989,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.02033333333333333,0.0,0.021755455109968663,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
52,2437184901,"omission",276989,"1111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.999,0.01,0.9975666815890941,"1111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
53,3631781870,"insertion",276849,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6120903889498932e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
53,3631781870,"omission",276849,"1111111121111111111111111111111111111111111111111111111115111111111111111111111111111111111111111111",0.996,0.02,0.9948563832861353,"1111111121111111111111111111111111111111111111111111111115111111111111111111111111111111111111111111",0.02
54,2976905959,"insertion",277153,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0003333333333333333,0.0,0.0009308971250432975,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
54,2976905959,"omission",277153,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.997,0.0,0.9949738771504445,"1111111111111111111111111111111111111111111111111111111111111211111111111111111111111111111111111111",0.01
55,1654859723,"insertion",277037,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.002,0.0,0.002364313663206226,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
55,1654859723,"omission",277037,"1111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111",0.995,0.01,0.9935351362277827,"1111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111",0.01
56,1748965924,"insertion",276857,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.011333333333333334,0.0,0.010481983413760223,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
56,1748965924,"omission",276857,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.998,0.0,0.9930830467824429,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
57,1244352019,"insertion",276432,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.015333333333333332,0.0,0.013996259464387135,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
57,1244352019,"omission",276432,"1111111111111111111111111111111111111111111111111111111111111111141111111111111111111111111111111111",0.9993333333333333,0.01,0.9987157735565114,"1111111111111111111111111111111111111111111111111111111111111111141111111111111111111111111111111111",0.01
58,738300426,"insertion",276745,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.006333333333333333,0.0,0.0061320209290897,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
58,738300426,"omission",276745,"1111111111111111111111111111111111111111111111111111111111111211111111111111111111111111111111111111",0.9966666666666667,0.01,0.9946159627670338,"1111111111111111111111111111111111111111111111111111111111111211111111111111111111111111111111111111",0.01
59,125840336,"insertion",277462,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.016,0.0,0.01553371464818479,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
59,125840336,"omission",277462,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111211",1.0,0.01,0.9999963958898728,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111211",0.01
60,63385763,"insertion",276405,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,0.00030752087524058984,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
60,63385763,"omission",276405,"1111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999963821073501,"1111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
61,785694227,"insertion",277037,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6096391804675206e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
